Run,Patients_Seen,Mean_Q_Time_Consult_One,Mean_Q_Time_Consult_Two,Mean_Duration_Consult_One,Mean_Duration_Consult_Two,Mean_Duration_Diagnostics,Mean_Duration_Discharge,Mean_Time_UTC,Mean_Less4h
0,165,30.223771320983968,30.40036714365868,32.79594172184062,16.982249830779097,59.47202056642309,14.148733095762708,84.93969250519537,0.9878787878787879
1,159,7.221075976869303,7.945721567851041,29.62906683929173,16.181927365659003,29.51536983831336,15.837395801985073,60.109843102297766,1.0
2,158,21.065932316589226,19.968243489564202,31.776721138411446,18.44727924882957,49.09770749389432,14.93546515787352,79.9635051009143,0.9936708860759493
3,156,12.268222917668426,8.1301256731997,33.77785247502825,17.44340138774335,45.336473069339085,17.67158432527792,69.6268263954981,1.0
4,164,9.644262784964384,13.576577803839479,30.795290107110727,24.930728028795734,43.088564776964745,14.640448092371773,63.53810952324689,0.9939024390243902
5,150,68.98522428011401,69.83662547199003,37.19687321667899,16.460794888559512,41.49077213875518,13.991120162786416,133.8039581928386,0.92
6,161,8.507944804674539,7.77246883110217,30.647084001228073,13.540333043536416,28.501711356653267,16.00412429426493,60.10966373184871,1.0
7,156,22.667281067021957,25.953756250293434,33.94927507863307,15.909398897883147,52.27840013249622,14.767013822508803,79.832171083096,0.9807692307692307
8,145,86.98462125654937,68.29086279505177,39.1469124567218,22.11459750244239,54.27762848982188,13.318434682400424,150.425926855399,0.9379310344827586
9,160,9.861087385463312,8.579315037329074,33.33095413872796,21.428274669852556,30.89677826917113,13.901218483150473,63.94500140468142,1.0
10,145,91.24644650795847,99.84080803059744,37.31002730191448,23.777219545468444,64.92192440975073,14.041999374356577,150.40012636984952,0.9241379310344827
11,135,13.190757815865695,15.986489443930221,36.928567298376755,24.95390593836624,48.11830507587704,12.70014108185881,75.35365366799235,0.9925925925925926
12,172,64.30326859513212,86.68412150238211,29.990751607577568,19.331266555009364,35.32653213133495,14.69104526361649,129.52894921468757,0.8953488372093024
13,154,44.080112933800976,42.70779757266103,34.80355287236325,32.279036446448224,64.4857850035543,13.376310040759002,105.84497120627357,0.9415584415584416
14,155,8.866681514965729,6.683014388977074,31.05327734844934,17.29736624677995,53.135111283065406,14.978089483659577,64.84843440111625,0.9935483870967742
15,160,36.25599415776063,37.97243082733108,33.48507044452705,23.551096357031568,48.01218710404104,13.58224984266614,101.80746623112194,0.9625
16,162,53.23176729014948,62.44040797425681,33.22102680377554,21.90158699528217,30.519998855560623,15.744990560205558,112.12412979950956,0.9691358024691358
17,143,5.272542303838129,3.1131468182316886,30.616939704641595,12.354295016798952,80.38418186286499,15.680409782046334,59.61338468825158,0.993006993006993
18,148,43.37914924447773,51.545381937031365,32.859110328930925,24.361699018655703,38.6851473028209,14.604109303511677,104.77926150295507,0.9662162162162162
19,154,53.209719526534386,59.54208736848859,34.06622321981503,33.047537927656265,59.821485754136035,13.447954478510194,119.52786547132285,0.935064935064935
20,149,31.136780193926185,33.94430260613284,34.68237574250652,24.119732808279778,57.89259022457574,17.116533493898554,96.94387239343052,0.9664429530201343
21,161,43.7983256081811,36.69957035234958,33.9790372250478,12.319672187303658,56.64973581492719,17.75739061265133,105.37968931742499,0.9627329192546584
22,168,14.803700562238706,24.118197979392612,32.05817026387318,19.040955533163416,38.85002320734048,15.085251387519795,70.73381971933487,0.9880952380952381
23,157,54.51709010241022,67.376038193052,32.70629533122384,20.067370827753603,36.41158623762704,18.414529158628724,117.47119439402387,0.9617834394904459
24,142,119.9043970930846,113.07538306174615,40.2847051695203,14.847107505516579,41.469282510293176,14.158375464635919,193.433874693726,0.7816901408450704
25,153,58.51238988667483,62.8027578615737,35.51225367825635,18.770286151606076,45.481280634217256,12.713277416976512,119.19422731988779,0.9673202614379085
26,131,61.2375956215439,44.77655797405522,42.26155667031612,13.294658105416602,46.37026394130091,16.726600937916853,125.80659567363496,0.9618320610687023
27,157,55.98899820736741,63.9785522726465,34.84021055973187,23.233663258573323,55.6544661277574,14.740944843991386,119.21983657213941,0.9299363057324841
28,154,65.82165548763147,61.48432091740166,33.364424327486255,23.636423858652385,65.554005126733,15.200104679915306,129.06229649855123,0.9415584415584416
29,152,13.033050166570511,20.999933862825245,33.143984122234315,16.38503003677288,45.43585655431039,14.453283602869035,66.62392989820671,0.9868421052631579
30,155,15.472022507730253,18.184217253993907,32.56569989179857,28.265769347677974,32.148008795522,11.89295860517945,68.04402246506376,1.0
31,156,59.56014760376864,74.69647927431069,35.47256690944374,16.33553222234036,57.801706166125086,13.661139820447616,123.00478872431155,0.967948717948718
32,150,31.195042500567265,37.542269436207086,37.160952744839946,20.34357854994779,48.99966723532975,15.219076752063968,95.68876372257277,0.9866666666666667
33,152,88.65697703368501,87.48123337727235,36.28639838822355,22.43044143956961,45.91845352407102,16.518345719519946,152.73890148188934,0.9407894736842105
34,158,27.3122387058851,26.26503850253862,33.7289786530365,18.448102276866745,57.08325263895893,14.632027203031353,87.91458301099675,0.9810126582278481
35,135,81.1362252466352,101.05170355438341,39.7960794324336,16.52065479191247,48.65989538548542,13.616558218985048,151.7877632850534,0.8888888888888888
36,150,42.741574805197004,54.45773336039078,32.304789688005606,18.729467153468324,35.920815993719884,15.858866792497711,101.81603293645821,0.9666666666666667
37,158,70.6848989704492,65.54279223586654,35.67265949709985,26.233211051193308,40.08630480716964,16.127613420568384,134.16917387115043,0.9620253164556962
38,125,159.3316579254007,167.64991530155964,43.147544239771285,15.8711545140905,37.31229042219499,14.852403453188238,236.76494131929053,0.544
39,150,94.36460427143108,98.6531910235482,35.85209218773853,14.6997760446329,40.15269444953843,13.221923401026258,165.95278354946137,0.8533333333333334
40,122,113.22937602357273,86.84457426128553,43.30032646750172,22.848537855343327,35.06076907837855,17.144561321127707,186.72584326421102,0.6557377049180327
41,142,91.11432538302687,88.42182885811103,36.13343717379505,21.61517422400026,47.18805551593738,14.246819304530007,160.3173001442169,0.8661971830985915
42,151,59.04089305114226,64.77095937922267,35.02824415314769,21.470915168327938,35.03245228342099,15.417861994317333,123.94354146984891,0.9536423841059603
43,152,69.67535523306033,73.2420109154123,36.259240979930844,18.135233554173244,33.30399636357769,14.703368982573934,132.12176369335646,0.9342105263157895
44,150,54.62931419003973,42.35062272639343,37.30774162539522,20.519898301585044,53.914721543651844,16.636333183762947,120.25191325636091,0.94
45,142,31.43049586354801,38.64301380209642,36.25169890291288,30.65414217620288,50.08212593169842,13.977007840402267,95.11038930094739,0.9788732394366197
46,142,25.108773220236433,45.6175465419353,35.299537612801906,19.90688564881282,48.35039954289752,15.684659532746421,83.3103892784806,0.9788732394366197
47,155,95.82963951959344,113.89529940867159,34.40947228574092,21.630878788327955,46.01201010120311,12.68184230810082,162.83159412033484,0.896774193548387
48,162,38.911579751652965,33.74864808715771,30.829598339089774,25.753745880539665,39.017687454957645,14.083747067603719,91.12270896743203,0.9876543209876543
49,162,45.97465626136437,49.88702935903322,34.07880765485105,16.82980586882743,34.552472544398924,16.301610993904887,111.35793532082545,0.9691358024691358
50,151,98.35455781861197,119.90321035121602,37.28317621000448,19.949901915235763,39.8542184730688,12.677897172398488,160.21677893210898,0.8940397350993378
51,161,41.089289620458885,47.1785418734878,33.69204736099748,11.159831637474896,46.1321249965363,14.079774438400491,96.64773242662696,0.9565217391304348
52,152,24.349402467382255,18.890315125527724,32.5039348684164,17.945054237842847,48.25426482198203,15.577770332264913,84.18691239103991,0.9802631578947368
53,132,86.92744232239295,104.9061880959463,41.652962810471536,12.820380060792592,37.91677573898755,16.352302396948,162.61945115432684,0.8787878787878788
54,143,154.69845535878665,184.5664778434167,37.863601115140796,21.855998887842308,23.123881620455645,17.268578308386658,227.48804696321523,0.7132867132867133
55,155,71.21825915829287,61.87517557517577,37.07442102242713,16.64777357563631,52.47832538124534,14.198445019405737,134.3234983836664,0.9612903225806452
56,123,91.18423215492402,160.0323891456547,44.81483213695344,19.872439561283446,41.2949778763237,14.27591644176232,168.25870484610004,0.7154471544715447
57,149,26.457092074327246,15.399182291264477,33.62571367102129,15.400567273121451,66.24490390105434,13.13779548054778,81.6875844141562,0.9731543624161074
58,145,22.988870280343722,28.940906620355054,31.720854116253903,13.694719688492853,17.53852826247441,15.47020207303362,74.7448623336626,1.0
59,156,31.777105411744458,24.071917780928832,34.83792477120019,21.7027470737359,48.48494330291727,16.61492498713919,95.31452031849177,0.9807692307692307
60,168,39.213212706287024,38.89352498352395,32.79476495456343,20.633133227149983,41.577393586049766,13.77779398387174,99.62739778355937,0.9821428571428571
61,156,14.632441485310324,16.241625382274094,35.55663243750568,21.025312542746743,48.17420792006263,14.362842742686874,73.31511111115245,0.9743589743589743
62,151,72.29893073155469,82.46271956686657,37.99390151503401,23.210876290152942,60.84713405711857,13.970241157637524,139.70208147573572,0.9271523178807947
63,157,23.44609429843131,30.488247283556575,34.81895578517781,15.552038103583412,45.769717755976366,14.478791053330855,81.51549748819313,0.9808917197452229
